genus,species_epithet,Aptian,Albian,Cenomanian,Turonian-Santonian,Campanian,Maastrichtian,Paleocene,Cretaceous,Monosulcate,Porate,Colpate,Triprojectacites,Other
„Fibulapollis“,scabratus,0,0,0,0,1,1,0,1,0,0,1,1,0
„Momipites“,parvus,0,0,0,0,0,1,1,1,0,1,0,0,0
„Pandaniidites“,typicus,0,0,0,0,0,1,1,1,0,0,0,0,1
Aesculiidites,circumstriatus,0,0,0,0,0,1,1,1,0,0,1,0,0
Aff. Tricolpites,crassimurus (Doyle and Robbins 1977),1,0,0,0,0,0,0,1,0,0,1,0,0
Alnipollenites,trina,0,0,0,0,0,1,1,1,0,1,0,0,0
Alnipollenites,verus,0,0,0,0,1,1,1,1,0,1,0,0,0
Aquilapollenites,aptus,0,0,0,0,0,1,0,1,0,0,1,1,0
Aquilapollenites,attenuatus,0,0,0,0,1,1,1,1,0,0,1,1,0
Aquilapollenites,bertillonites,0,0,0,0,0,1,0,1,0,0,1,1,0
Aquilapollenites,catenreticulatus,0,0,0,0,0,1,0,1,0,0,1,1,0
Aquilapollenites,clarireticulatus,0,0,0,0,1,0,0,1,0,0,1,1,0
Aquilapollenites,collaris,0,0,0,0,0,1,0,1,0,0,1,1,0
Aquilapollenites,conatus,0,0,0,0,1,1,0,1,0,0,1,1,0
Aquilapollenites,delicatus,0,0,0,0,0,1,1,1,0,0,1,1,0
Aquilapollenites,polaris,0,0,0,0,0,1,1,1,0,0,1,1,0
Aquilapollenites,pyriformis,0,0,0,0,1,1,0,1,0,0,1,1,0
Aquilapollenites,quadrilobus,0,0,0,0,1,1,0,1,0,0,1,1,0
Aquilapollenites,reductus,0,0,0,0,0,1,0,1,0,0,1,1,0
Aquilapollenites,reticulatus,0,0,0,0,1,1,1,1,0,0,1,1,0
Aquilapollenites,senonicus,0,0,0,0,1,1,0,1,0,0,1,1,0
Aquilapollenites,stelckii,0,0,0,0,0,1,0,1,0,0,1,1,0
Aquilapollenites,trialatus trialatus,0,0,0,0,1,1,0,1,0,0,1,1,0
Aquilapollenites,trialatus uniformis,0,0,0,0,1,1,0,1,0,0,1,1,0
Aquilapollenites,turbidus,0,0,0,0,1,0,0,1,0,0,1,1,0
Arecipites,columellus,0,0,0,0,0,1,0,1,1,0,0,0,0
Arecipites,tenuiexinous,0,0,0,0,0,1,1,1,1,0,0,0,0
Artiopollis,indivisus,0,0,1,0,0,0,0,1,0,0,1,0,0
Artiopollis,praecox,0,1,0,0,0,0,0,1,0,0,1,0,0
Asteropollis,asteroides,0,1,1,0,0,0,0,1,1,0,0,0,0
Asteropollis,clavatus,0,1,0,0,0,0,0,1,1,0,0,0,0
Asteropollis,vulgaris,0,0,1,0,0,0,0,1,1,0,0,0,0
Atlantopollis,verrucosus,0,0,1,1,0,0,0,1,0,1,0,0,0
Brenneripollis,gracilis,0,1,0,0,0,0,0,1,1,0,0,0,0
Brenneripollis,peroreticulatus,1,1,1,1,0,0,0,1,1,0,0,0,0
Brenneripollis,potomacensis,1,1,1,0,0,0,0,1,1,0,0,0,0
Brenneripollis,textus,0,1,1,0,0,0,0,1,1,0,0,0,0
Caprifolipites,acopus,0,1,0,0,0,0,0,1,0,0,1,0,0
Casuarinidites,convexus,0,0,0,0,0,1,1,1,0,1,0,0,0
Choanopollenites,consanguinus,0,0,0,0,1,1,0,1,0,1,0,0,0
Choanopollenites,discipulus,0,0,0,0,0,0,1,0,0,1,0,0,0
Clavatipollenites,hughesii,1,1,1,0,0,0,0,1,1,0,0,0,0
Clavatipollenites,minutus,1,1,1,0,0,0,0,1,1,0,0,0,0
Clavatipollenites,sp. A (Doyle and Robbins 1977),1,0,0,0,0,0,0,1,1,0,0,0,0
Clavatipollenites,tenellus,0,1,1,0,0,0,0,1,1,0,0,0,0
Complexiopollis,abditus,0,0,0,1,1,0,0,1,0,1,0,0,0
Complexiopollis,exigua,0,0,0,1,0,0,0,1,0,1,0,0,0
Complexiopollis,funiculus,0,0,1,1,0,0,0,1,0,1,0,0,0
Complexiopollis,microverrucosus,0,0,0,0,1,0,0,1,0,1,0,0,0
Complexiopollis,patulus,0,0,0,1,0,0,0,1,0,1,0,0,0
Cranwellia,bacata,0,0,0,0,1,1,0,1,0,0,1,0,0
Cranwellia,rumseyensis,0,0,0,0,1,1,1,1,0,0,1,0,0
