genus,species_epithet,taxon_authorship,morphology_sources,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,notes
Albertipollenites,rosalindii,Srivastava 1969,Srivastava 1969b,4,2,0,0,0,3,2,2,?,–,4,0,1,0,–,6,0,?,1,0,–,–,0,?,–,–,–,–,–,"described as angulaperturate, looks rounded planaperturate"
Alnipollenites,finitimus,(Chlonova 1961) Srivastava,Chlonova 1961,A,0,?,0,0,4,1,?,?,–,?,?,0,–,–,–,?,?,?,0,–,–,1,?,?,1,0,?,0,
Alnipollenites,trina,(Stanley 1965) Norton in Norton & Hall 1969,Lupia 1999,9,0,0,0,0,2,1,2,?,–,0,?,1,0,–,0,?,?,–,?,?,–,1,0,0,1,0,0,0,
Anacolosidites,rotundus,Stanley 1965,Stanley 1965,A,4,0,0,0,1,1,2,?,–,1,?,1,1,1,6,?,1,?,0,–,–,1,0,0,0,0,0,0,
Aquilapollenites,amicus,Srivastava 1968,Srivastava 1969a,5,2,0,0,0,2,1,4,1,1,?,?,1,?,2,6,?,?,?,0,–,2,?,?,–,–,–,–,–,
Aquilapollenites,attenuatus,Funkhouser 1961,Lupia 1999,4,0,0,0,0,2,?,4,2,2,1,?,1,0,–,6,?,1,?,1,3,0,2,?,–,–,–,–,–,
Aquilapollenites,augustus,Srivastava 1969,Srivastava 1969c,4,0,0,0,0,2,1,5,2,2,1,?,1,1,3,6,?,?,?,1,4,0,2,?,–,–,–,–,–,
Aquilapollenites,bertillonites,Funkhouser 1961,Lupia 1999,4,0,0,0,0,2,?,4,1,2,?,?,1,0,–,5,?,?,–,?,?,1,?,?,–,–,–,–,–,
Aquilapollenites,catenireticulatus,Srivastava 1968,Lupia 1999,4,0,0,0,0,2,2,4,2,2,3,?,1,?,?,6,?,1,1,?,?,2,2,?,–,–,–,–,–,in Lupia (1999) as A. catenreticulatus
Aquilapollenites,collaris,(Tschudy and Leopold 1971) Nichols 1994,Lupia 1999,4,0,0,0,0,2,2,5,2,2,1,?,1,1,0,6,?,1,1,1,3,0,?,?,–,–,–,–,–,
Aquilapollenites,conatus,Norton 1965,Lupia 1999,4,0,0,0,0,2,2,4,2,2,?,?,1,0,–,?,?,0,?,1,6,0,?,?,–,–,–,–,–,
Aquilapollenites,delicatus,Stanley 1961,Lupia 1999,4,0,0,0,0,2,2,5,2,2,2,?,1,1,3,6,?,1,2,1,3,0,2,?,–,–,–,–,–,
Aquilapollenites,funkhouseri,Srivastava 1967,Srivastava 1967,4,2,0,0,0,2,1,4,2,1,?,?,1,1,3,6,?,?,?,0,–,1,0,?,–,–,–,–,–,
Aquilapollenites,immiser,Sweet 1986,Sweet 1986,4,2,0,0,0,2,1,4,1,3,?,?,1,0,–,3,?,?,–,?,?,0,2,?,–,–,–,–,–,
Aquilapollenites,marmarthensis,Nichols 2002,Nichols 2002,4,0,0,0,0,2,2,5,1,3,0,?,1,0,–,3,?,?,–,1,4,0,2,?,–,–,–,–,–,
Aquilapollenites,mtchedlishvili,Srivastava 1967,Srivastava 1969a,4,0,0,0,0,2,1,4,2,1,?,?,1,1,2,6,?,?,?,?,?,1,?,?,–,–,–,–,–,"ornamentation striato-reticulate, acc. to Srivastava retipilate"
Aquilapollenites,notabile,(Mtchedlishvili) Farabee 1990,Farabee 1993,4,0,?,0,0,2,2,5,1,2,?,?,1,0,–,6,?,1,?,1,0,0,2,?,–,–,–,–,–,
Aquilapollenites,oblatus,Srivastava 1968,Srivastava 1969a,4,2,0,1,0,2,1,4,2,1,?,?,1,1,2,6,?,?,0,?,?,1,?,?,–,–,–,–,–,"equatorial colpi, here interpreted as pseudogerminals"
Aquilapollenites,pyriformis,Norton 1965,Lupia 1999,4,?,0,0,0,2,?,6,1,3,?,?,1,1,3,5,?,?,–,?,?,0,2,?,–,–,–,–,–,
Aquilapollenites,quadricretaeus,Chlonova 1961,Chlonova 1961,4,2,?,0,0,2,2,4,2,2,?,?,1,0,–,6,?,?,?,1,2,0,2,?,–,–,–,–,–,
Aquilapollenites,quadrilobus,Rouse 1957,Lupia 1999,4,0,0,0,0,2,?,5,?,2,1,0,1,1,0,6,?,1,0,1,3,0,2,?,–,–,–,–,–,
Aquilapollenites,reductus,Norton 1965,Lupia 1999,4,2,0,0,0,2,1,4,2,1,1,?,1,1,5,6,?,1,2,0,–,1,?,?,–,–,–,–,–,
Aquilapollenites,reticulatus,(Mchedlishvili 1961) Tschudy & Leopold 1971 / Stanley 1961,Lupia 1999,4,2,0,0,0,2,1,4,2,?,?,?,1,1,2,6,?,1,2,?,?,2,?,?,–,–,–,–,–,
Aquilapollenites,senonicus,(Mchedlishvili 1961) Tschudy & Leopold 1971,Lupia 1999,4,0,0,0,0,2,2,5,1,?,?,?,1,1,5,6,?,?,2,?,?,1,2,?,–,–,–,–,–,
Aquilapollenites,sentus,Srivastava 1969,Srivastava 1969c,4,0,0,0,0,2,2,4,2,2,?,?,1,1,?,6,?,?,0,1,4,0,?,?,–,–,–,–,–,patchy but regular distibution of spines
Aquilapollenites,turbidus,Tschudy & Leopold 1971,Lupia 1999,4,0,0,0,0,2,2,4,1,2,1,?,1,1,1,6,?,1,0,1,3,0,2,?,–,–,–,–,–,
Aquilapollenites,vulsus,Sweet 1986,Sweet 1986,4,2,0,0,0,2,2,4,2,3,0,?,1,1,1,3,?,?,–,1,4,0,2,?,–,–,–,–,–,
Arecipites,columellus,Leffingwell 1970,Lupia 1999,1,–,0,0,0,0,1,2,?,–,1,0,1,0,–,6,0,1,0,0,–,–,0,?,–,–,–,–,–,
Arecipites,tenuiexinous,Leffingwell 1970,Lupia 1999,1,–,0,0,0,0,1,?,?,–,0,?,1,0,–,6,?,?,2,?,?,–,0,?,–,–,–,–,–,
Bratzevaea,amurensis,(Bratzeva 1965) Takahashi 1982,Jansonius & Hills 1982,4,0,0,0,0,2,1,4,2,2,2,0,1,0,–,5,?,?,?,0,–,0,2,?,–,–,–,–,–,
Brevicolporites,colpella,Anderson 1960,Anderson 1960,9,0,0,0,0,1,0,2,?,–,1,?,1,?,?,0,?,?,–,0,–,–,1,?,?,1,?,?,?,
Callistopollenites,radiatostriatus,(Mtchedlishvili) Srivastava 1969,Srivastava 1969b,5,2,0,0,0,1,1,1,1,–,?,?,1,0,–,5,?,?,?,0,–,–,1,?,–,–,–,–,–,
Cranwellia,edmontonensis,Srivastava 1967,Srivastava 1967,E,2,0,0,0,4,2,?,?,–,?,?,1,0,–,5,?,?,–,0,–,–,2,?,–,–,–,–,–,
Cranwellia,rumseyensis,Srivastava 1967,Lupia 1999,5,2,0,0,0,2,1,?,?,–,?,?,1,0,–,?,?,?,?,1,6,–,0,?,–,–,–,–,–,
