genus_correct,species_epithet,taxon_authorship,latitude,longitude,section,reference,genus,comment,state,sample,lithostratigraphy,biostratigraphy,age,cm_from_kpg_lower,cm_from_kpg_upper,frequency,genus_temp_comment,section_comment,palaeolat,genus_syn,species_syn,pre,boundary,post,lat_bin,age_bin
Albertipollenites,rosalindii,,51.913611,-112.946667,Scollard,Srivastava 1994,Albertipollenites,,Alberta,2,Scollard Fm.,,Cretaceous,-600,-600,common (6-9),,,60.0344,Albertipollenites,rosalindii,TRUE,FALSE,FALSE,2,1
Albertipollenites,rosalindii,,51.913611,-112.946667,Scollard,Srivastava 1994,Albertipollenites,,Alberta,3,Scollard Fm.,,Cretaceous,-410,-410,common (6-9),,,60.0344,Albertipollenites,rosalindii,TRUE,FALSE,FALSE,2,1
Albertipollenites,rosalindii,,51.913611,-112.946667,Scollard,Srivastava 1994,Albertipollenites,,Alberta,4,Scollard Fm.,,Cretaceous,-284,-284,common (6-9),,,60.0344,Albertipollenites,rosalindii,TRUE,FALSE,FALSE,2,1
Albertipollenites,rosalindii,,51.913611,-112.946667,Scollard,Srivastava 1994,Albertipollenites,,Alberta,A,Scollard Fm.,,Cretaceous,-947,-947,common (6-9),,,60.0344,Albertipollenites,rosalindii,TRUE,FALSE,FALSE,2,1
Albertipollenites,rosalindii,,51.913611,-112.946667,Scollard,Srivastava 1994,Albertipollenites,,Alberta,B,Scollard Fm.,,Cretaceous,-1358,-1358,some (3-5),,,60.0344,Albertipollenites,rosalindii,TRUE,FALSE,FALSE,2,1
Albertipollenites,rosalindii,,51.913611,-112.946667,Scollard,Srivastava 1994,Albertipollenites,,Alberta,C,Scollard Fm.,,Cretaceous,-1768,-1768,common (6-9),,,60.0344,Albertipollenites,rosalindii,TRUE,FALSE,FALSE,2,1
Albertipollenites,rosalindii,,51.913611,-112.946667,Scollard,Srivastava 1994,Albertipollenites,,Alberta,D,Scollard Fm.,,Cretaceous,-2022,-2022,some (3-5),,,60.0344,Albertipollenites,rosalindii,TRUE,FALSE,FALSE,2,1
Albertipollenites,rosalindii,,51.913611,-112.946667,Scollard,Srivastava 1994,Albertipollenites,,Alberta,E,Scollard Fm.,,Cretaceous,-2289,-2289,some (3-5),,,60.0344,Albertipollenites,rosalindii,TRUE,FALSE,FALSE,2,1
Alnipollenites,finitimus,,51.913611,-112.946667,Scollard,Srivastava 1994,Alnipollenites,,Alberta,2,Scollard Fm.,,Cretaceous,-600,-600,rare (1-2),,,60.0344,Alnipollenites,finitimus,TRUE,FALSE,FALSE,2,1
Alnipollenites,finitimus,,51.913611,-112.946667,Scollard,Srivastava 1994,Alnipollenites,,Alberta,3,Scollard Fm.,,Cretaceous,-410,-410,rare (1-2),,,60.0344,Alnipollenites,finitimus,TRUE,FALSE,FALSE,2,1
